num	time	ers	depth	appends	dedup	frontier	bankrupt	elapsed	verdict	change	config
0	2026-04-04T01:04:47.601364	0.0	0	12	1	8	0	600	BASELINE	baseline	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
1	2026-04-04T01:05:21.631400	0.0	0	0	0	0	0	0	DISCARD	THINKING_MODE=budget:800 (Phase 1 plateaued at depth=7 with thinking off. The primary )	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:800", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
2	2026-04-04T01:06:00.746763	0.0	0	0	0	0	0	0	DISCARD	THINKING_MODE=budget:1500 (Phase 1 plateaued at depth=7 with thinking off (shallow step)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:1500", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
0	2026-04-04T01:07:07.114106	0.0	0	7	0	4	0	385	BASELINE	baseline	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
3	2026-04-04T01:11:01.510840	0.0	0	11	0	6	0	225	DISCARD	THINKING_MODE=budget:400 (Previous thinking mode budgets (800,1500) yielded zero depth)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:400", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
1	2026-04-04T01:11:01.511057	0.0	0	5	0	4	0	196	DISCARD	THINKING_MODE=budget:800 (Starting Phase 2 thinking mode sweep with a balanced approac)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:800", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
0	2026-04-04T01:11:01.512208	0.0	0	13	0	8	0	207	BASELINE	baseline	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
0	2026-04-04T01:14:02.096558	0.0	0	0	0	0	0	93	BASELINE	baseline	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
0	2026-04-04T01:14:02.097384	0.0	0	0	0	0	0	32	BASELINE	baseline	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
1	2026-04-04T01:14:45.273415	0.0	0	0	0	0	0	19	DISCARD	THINKING_MODE=budget:1500 (Depth is squared in ERS formula, so doubling depth yields 4x)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:1500", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
1	2026-04-04T01:14:45.273549	0.0	0	2	0	2	0	27	DISCARD	THINKING_MODE=budget:800 (Phase 1 plateaued at depth=7 with thinking OFF due to shallo)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:800", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
2	2026-04-04T01:15:45.158013	0.0	0	0	0	0	0	28	DISCARD	THINKING_MODE=budget:800 (Phase 1 plateaued at depth=7 with shallow steps (thinking of)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:800", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
3	2026-04-04T01:22:47.348407	0.0	0	5	1	2	0	295	DISCARD	edit:problem.txt (The last two experiments with THINKING_MODE=budget:800 and b)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
2	2026-04-04T01:22:47.349150	0.0225	3	20	0	11	0	363	KEEP	edit:problem.txt (Phase 1 plateaued at depth=7 because agents performed shallo)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
0	2026-04-04T01:33:24.911652	0.05612	5	49	5	21	0	602	BASELINE	baseline	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
1	2026-04-04T01:44:03.471046	0.05793	5	41	3	18	0	602	KEEP	THINKING_MODE=budget:800 (Switching to thinking mode with a budget of 800 tokens strik)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:800", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
2	2026-04-04T01:54:36.377346	0.0878	6	41	1	17	0	602	KEEP	THINKING_MODE=on (Phase 1 plateaued at depth=7 with thinking OFF, indicating s)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "on", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
3	2026-04-04T02:05:42.957248	0.09	6	49	0	28	0	602	KEEP	THINKING_MODE=budget:1500 (Phase 1 showed depth=7 with thinking OFF, but Phase 2 experi)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:1500", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
4	2026-04-04T02:17:35.188502	0.0225	3	35	0	16	0	602	DISCARD	THINKING_MODE=off (Phase 2 experiments show thinking modes produce fewer append)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "off", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
5	2026-04-04T02:28:31.112099	0.035	4	24	3	8	0	602	DISCARD	edit:problem.txt (The current problem.txt is truncated mid-sentence, leaving a)	{"SWARM_SIZE": 10, "MATH_COUNT": 6, "BULL_COUNT": 2, "BEAR_COUNT": 2, "FRONTIER_CAP": 30, "DEPTH_WEIGHT": 1.0, "PRICE_GATE_ALPHA": 0.05, "GLOBAL_DEDUP": "true", "THINKING_MODE": "budget:1500", "LLM_MODEL": "qwen3.5-9b", "LIBRARIAN_INTERVAL": 20}
